Instituto Nacional de Estadística y Geografía,,,,
INEGI. Censos Económicos 2024. Resultados definitivos,,,,
Fecha de la consulta: 11/11/2025 09:44:37,,,,
,,,,
"Año Censal","Entidad","Actividad económica","UE Unidades económicas",
2023,"00 Total Nacional","Total nacional",5468180,
2018,"00 Total Nacional","Total nacional",4800157,
2013,"00 Total Nacional","Total nacional",4230745,
2008,"00 Total Nacional","Total nacional",3724019,
2003,"00 Total Nacional","Total nacional",3005157,
,,,,
"Nota: para las celdas que aparecen vacías, se omitieron los datos absolutos de las variables económicas, con el fin de garantizar el principio de confidencialidad y reserva.",,,,
