Concepto,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1,2021 |  T2,2021 |  T3,2021 |  T4,2021 |  6 Meses,2021 |  9 Meses,2021 |  Anual,2022 |  T1 P,2022 |  T2 P,2022 |  T3 P,2022 |  T4 P,2022 |  6 Meses P,2022 |  9 Meses P,2022 |  Anual P,2023 |  T1 P,2023 |  T2 P,2023 |  T3 P,2023 |  T4 P,2023 |  6 Meses P,2023 |  9 Meses P,2023 |  Anual P,2024 |  T1 P,2024 |  T2 P,2024 |  T3 P,2024 |  T4 P,2024 |  6 Meses P,2024 |  9 Meses P,2024 |  Anual P,2025 |  T1 R,2025 |  T2 P,2025 |  T3,2025 |  T4,2025 |  6 Meses,2025 |  9 Meses,2025 |  Anual
Índice de volumen físico base 2018=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,72.12681416515935,73.96515102884258,73.37887622920005,74.39735017608196,73.04598259700097,73.15694714106733,73.46704789982101,74.44626964516085,76.78024028731876,75.85888135009284,77.35848952858369,75.6132549662398,75.69513042752412,76.11097020278903,74.66102561934343,78.52965154560808,77.58185891309893,79.83937807820783,76.59533858247575,76.92417869268347,77.65297853906456,79.13476303173859,82.17594121951801,81.46153038997178,82.62383393767576,80.6553521256283,80.9240782137428,81.34901714472603,80.80919937324987,83.90259547688302,83.31153433094806,84.67389656836437,82.35589742506644,82.67444306036032,83.17430643736134,81.32524910585497,85.71750266173498,84.10627821413067,83.97581206312387,83.52137588379496,83.71634332724024,83.78121051121113,76.03983197750651,77.33652092446235,79.45596397743711,82.48900595190003,76.68817645098446,77.61077229313533,78.83033070782648,79.74284860130942,83.04403459691491,83.50105562202496,85.7908388012521,81.39344159911217,82.09597960674975,83.01969440537536,82.83468751364087,85.25473967516798,86.77119110792442,89.19691184371406,84.0447135944044,84.95353943224441,86.01438253511182,87.0160658519847,88.87521062598445,89.01501233087666,91.80596604469986,87.94563823898457,88.30209626961523,89.17806371338641,86.88201396341009,90.50056607424554,90.00991629960153,92.70220978194195,88.69129001882784,89.13083211241906,90.02367652979979,89.03465002268823,92.28958504108193,92.36910576151315,95.42634524334439,90.66211753188506,91.23111360842776,92.27992151715692,91.58257777366798,94.32213585133889,95.33700924031254,97.31435399852538,92.95235681250345,93.74724095510648,94.6390192159612,93.05133063506132,96.4451310891022,96.10722828092139,99.56092759160657,94.74823086208175,95.20123000169495,96.29115439917284,96.20867965873245,97.81835321822085,97.25839136028688,101.07184781977216,97.01351643847666,97.0951414124134,98.08931801425308,97.23895666487431,100.69916347762344,99.93485912329189,102.1270207342104,98.96906007124883,99.29099308859658,100.,98.13324366831337,99.64341894709321,99.42563684795861,101.04524532908712,98.88833130770333,99.06743315445507,99.5618861981131,96.85903957661475,80.00518159837206,91.61135736210943,97.76004743791415,88.43211058749337,89.49185951236541,91.55890649375262,94.57621048735824,97.63509948371403,95.95624775150375,99.17071334381869,96.10565498553616,96.055852574192,96.8345677665987,96.85086908427839,100.21639320728973,100.3445244579325,103.7423707062537,98.53363114578406,99.13726224983354,100.2885393639386,100.42195237960117,103.66444569585605,103.9932636123308,106.32236858908331,102.0431990377286,102.69322056259598,103.60050756921784,101.94552143150888,105.98275158186338,105.70170150062242,106.67885683676181,103.96413650668607,104.54332483799821,105.0772078376891,102.81448253503684,106.03204683260587,,,104.42326468382137,,
Aguascalientes,51.472807149473866,52.23762387714338,54.95769273821429,54.841145232231426,51.85521551330863,52.889374588277185,53.377317249265744,52.75249230530821,54.86414193178861,54.92094001462634,57.84323196013408,53.80831711854841,54.17919141724106,55.09520155296431,54.29697299275213,55.55086372053354,55.42572545855451,58.76430172332617,54.92391835664283,55.09118739061339,56.00946597379159,57.058625516216296,58.830974442926475,61.0725453227904,64.32655726343582,57.944799979571386,58.98738176064439,60.322175636342244,64.98390147310911,64.66416402340944,68.16966744280532,66.32443876480926,64.82403274825927,65.93924431310795,66.03554292603327,63.31411667910665,66.85300884089375,67.60977418468899,65.4183412626347,65.08356276000019,65.92563323489645,65.79881024183102,57.13010808882376,58.717753649134444,63.22806684194884,65.71729023403866,57.9239308689791,59.691976193302345,61.198304703486414,63.298188476887,65.26483125607653,69.28743629653664,69.11702711998856,64.28150986648178,65.95015200983339,66.74187078737218,66.99509833476833,68.86687010219607,70.76141569695785,73.33307826697774,67.93098421848221,68.87446137797409,69.98911560022499,72.44298917035401,73.28634583145065,73.29542712311391,76.10190131759335,72.86466750090234,73.00825404163952,73.78166586062798,75.28508504222897,75.8108336387439,76.41238302755256,78.80547835902111,75.54795934048644,75.83610056950847,76.57844501688665,82.17761878199619,82.93702361339311,83.94316259878225,88.30088214243894,82.55732119769465,83.01926833139052,84.33967178415261,85.45334118032127,89.69256097290535,90.06850548265982,92.38758344885582,87.57295107661332,88.4048025452955,89.40049777118557,89.39440557309798,93.65130925754106,92.7173296630608,97.95234247260557,91.52285741531952,91.92101483123328,93.42884674157636,96.16925665436655,95.50249770632725,95.99502960397969,95.12480483660929,95.8358771803469,95.88892798822451,95.69789720032068,97.69958138282423,98.65673964803783,100.4554698229183,103.1882091462196,98.17816051543103,98.9372636179268,100.,96.38849607180009,100.5911110480141,101.42147272531781,103.24983337436231,98.4898035599071,99.46702661504399,100.41272830487358,98.78628724983601,77.29889906228186,96.39289331348472,103.35812092165324,88.04259315605893,90.82602654186753,93.95905013681396,99.794582886398,97.19031883454556,92.19696393097391,95.92281512103612,98.49245086047179,96.39395521730584,96.27617019323841,95.41733568135776,96.98022045612113,95.95821178950331,95.99394527394234,96.19877806873944,96.11858930899406,96.08742830023112,98.04268238837126,101.71363694018756,103.71739938393891,103.43272773243663,99.87815966427941,101.15790623749923,101.72661161123358,99.05854931612788,103.39718632597888,102.2826465375424,102.04647502130126,101.22786782105338,101.57946072654971,101.69621430023761,100.68180387282084,104.88596693937258,,,102.78388540609672,,
Baja California,75.4909483467058,76.80044946154432,79.41676539237926,77.20557409606607,76.14569890412507,77.2360544002098,77.22843432417388,76.77419466679096,79.95586866141919,79.75558266242494,78.98312884367283,78.36503166410508,78.82854866354504,78.86719370857699,75.99634807589999,80.56524334525274,82.33713284817225,84.63425880871938,78.28079571057637,79.63290808977499,80.88324576951109,80.4244349667733,86.87425067085397,90.43630736942765,90.28856241627064,83.64934281881364,85.91166433568497,87.0058888558314,83.98814738294413,88.07148105826379,90.63920693825321,88.57968284693533,86.02981422060397,87.56627845982037,87.81962955659911,83.36640598152768,88.41267785719383,87.38516233504139,81.74364606648258,85.88954191936075,86.38808205792098,85.22697306006137,71.22566231114344,74.73142925766042,76.45604367753833,75.97315939558065,72.97854578440193,74.13771174878073,74.5965736604807,71.92645072627776,79.184438298895,79.88816047258098,80.3599117127458,75.55544451258639,76.99968316591792,77.83974030262489,75.40739890772021,78.65198160881121,81.44484615007192,82.10288812190785,77.0296902582657,78.50140888886779,79.4017786971278,78.83682299359148,83.94911836071958,84.00176157964111,83.35207826405842,81.39297067715553,82.26256764465072,82.53494529950265,78.52804405669906,84.86817914268627,85.78185327502842,84.52987561421999,81.69811159969268,83.05935882480459,83.42698802215844,80.00649943712853,86.18532736956249,88.6380453522728,91.34095623041145,83.0959134033455,84.94329071965461,86.54270709734382,85.3757515549763,90.44665155445686,92.29747888998054,93.6720593552287,87.91120155471658,89.37329399980456,90.4479853386606,87.77154104012784,93.95603877626286,96.4136977566706,98.90849879838589,90.86378990819534,92.71375919102044,94.2624440928618,93.21752500475972,99.1696085544726,99.49449749635382,101.40369068662625,96.19356677961616,97.29387701852872,98.3213304355531,95.75357249230808,101.97910423658429,100.40635532697355,101.86096794413406,98.86633836444618,99.37967735195531,100.,99.28892155018067,104.13909829918144,102.14561087617015,100.84503747560207,101.71400992468106,101.85787690851076,101.6046670502836,97.08278958450288,82.19421258407498,100.0561002364034,103.99576540216088,89.63850108428892,93.11103413499376,95.83221695178553,98.07581645967844,103.21549035210118,102.01860356590853,104.81922318855139,100.6456534058898,101.10330345922938,102.03228339155987,100.29085946000428,104.70998346228681,105.15118148396508,107.33423034618053,102.50042146114555,103.38400813541875,104.3715636881092,103.38805008510799,108.66423350821111,108.40989164376738,110.65588181378388,106.02614179665954,106.82072507902882,107.77951426271758,103.88417731361503,112.09468671148115,110.17775098117897,109.34339757547554,107.9894320125481,108.7188716687584,108.87500314543767,105.48059582594016,110.99047193807594,,,108.23553388200804,,
Baja California Sur,53.6614450013482,54.030695913871384,55.452221770193255,58.45482000088823,53.8460704576098,54.38145422847095,55.39979567157527,54.807877550965436,59.98756431575415,59.73379263716505,64.316007410596,57.397720933359786,58.176411501294865,59.71131047862016,62.898157162469516,62.326471840472585,60.09861163857045,67.72393070631075,62.61231450147105,61.77441354717084,63.26179283695582,64.75482783572554,67.1639415907922,67.33255388928279,72.74335362393587,65.95938471325887,66.41710777193352,67.99866923493411,70.22573105819711,72.99986702071298,75.77949300920206,76.19670372280828,71.61279903945506,73.00169702937072,73.80044870273011,75.607224743958,78.77886744822446,75.86564385632653,74.99938687856375,77.19304609609124,76.75057868283633,76.31278073176819,71.83882201356828,71.98264348514269,70.3799280899969,74.9614498188609,71.91073274935547,71.40046452956929,72.29071085189219,73.71302673510523,74.20481513773234,73.64965480563667,78.1119332988692,73.95892093641878,73.85583222615809,74.91985749433586,77.55871329619006,77.54238555278934,76.93922541841282,82.10240811233746,77.5505494244897,77.3467747557974,78.53568309493241,77.60134273619107,80.65187780636714,77.68756271081597,83.11785614663691,79.1266102712791,78.64692775112472,79.76465985000276,75.64599909225709,77.20653440742153,77.60093640300067,84.69821292550513,76.4262667498393,76.8178233008931,78.7879207070461,79.58625634668999,80.46339013708942,78.35074159715542,81.90555785477343,80.0248232418897,79.46679602697829,80.07648648392707,81.58940976853725,85.27559050762903,83.34018256167143,87.83043887063504,83.43250013808313,83.40172761261256,84.50890542711818,86.26140328373675,87.43534572792643,86.6749738390761,92.70810818252599,86.8483745058316,86.79057428357976,88.26995775831631,89.76660834355302,91.07454692630044,90.7828123161131,98.03147107619537,90.42057763492674,90.54132252865553,92.4138596655405,98.56907240424448,99.82771084019653,97.01192924224826,104.59128751331075,99.1983916222205,98.46957082889642,100.,95.69628009791799,95.84408058747984,94.61604170437032,98.91346053248756,95.77018034269892,95.38546746325605,96.26746573056393,92.79171023500813,68.77942374532343,80.53546864102633,89.36405303841791,80.78556699016578,80.70220087378596,82.86766391494396,81.6588308533639,93.22692816503525,95.92384429272562,98.66718683072612,87.44287950919957,90.26986777037493,92.36919753546272,88.02382172233864,95.45192241010054,99.15537728139083,101.03051265711149,91.73787206621958,94.21037380460999,95.91540851773536,92.22316021483469,96.24004276770665,98.80053422384046,102.52941751851222,94.23160149127067,95.75457906879393,97.4482886812235,95.42402599267724,100.89803618078432,101.62779591957187,106.01226452051044,98.16103108673077,99.31661936434448,100.99053065338597,98.83523776921606,103.52968967620689,,,101.18246372271147,,
Campeche,171.97966308888834,174.44546989056647,180.59929197593078,178.94313186135452,173.2125664897274,175.67480831846188,176.49188920418504,175.34734066585546,178.41316408922125,180.43612146470667,179.70669204704132,176.88025237753837,178.06554207326116,178.47582956670618,172.2941347370751,179.68419855717184,176.42498668821457,176.2677934899466,175.98916664712348,176.13443999415387,176.16777836810203,174.54512191984543,175.01787668033845,172.78859593765878,163.28509823172436,174.78149930009192,174.11719817928088,171.40917319239176,162.16891612701252,165.15778358496547,159.61482273680411,154.37687090302325,163.66334985598897,162.31384081626067,160.32959833795132,149.37671875626367,146.81722931767106,148.37644344702693,146.67775800057618,148.09697403696737,148.19013050698723,147.81203738038445,137.29047080573423,134.41793459452552,134.54947651882674,131.58076327962053,135.85420270012986,135.4192939730288,134.45966129967675,127.95391290651051,130.32935792433202,132.05765620258606,130.75218146141026,129.14163541542126,130.11364234447618,130.27327712370968,127.38811275694775,127.83982441311217,124.90659747074719,127.66524983351782,127.61396858502995,126.7115115469357,126.94994611858121,122.41658156765807,122.56092916187822,124.24867674428572,124.06322071856984,122.48875536476815,123.07539582460734,123.32235204809795,121.04793419660322,123.68321249142906,124.90146377139968,124.6667410002868,122.36557334401614,123.21087015314399,123.57483786492969,120.18677266135633,121.06811236790492,121.80278040200317,126.39095956096736,120.62744251463064,121.01922181042148,122.36215624805796,125.77856653732947,120.9418272279245,124.86778113032851,123.66836579972369,123.36019688262698,123.86272496519415,123.81413517382653,120.75693005737982,116.63254269463414,117.70720415085026,114.22852297279083,118.69473637600699,118.3655589676214,117.33129996891375,108.77364529615538,107.12710807767787,102.13648871686478,103.63571218346654,107.9503766869166,106.01241403023265,105.41823856854116,101.20071234162396,100.53241966061455,101.08787501646432,97.17899298129717,100.86656600111922,100.94033567290093,100.,95.08462527217357,94.7730037781483,97.38896394265485,96.30467455167383,94.92881452516094,95.74886433099226,95.88781688616265,95.55814748012106,86.41832996636181,87.30648280634932,87.50415340187449,90.98823872324144,89.76098675094406,89.19677841367667,87.45054638684539,87.6005385858757,85.89806812095115,85.14788854289093,87.52554248636055,86.98305103122408,86.5242604091408,83.39725479669758,84.14580871793842,82.55773491152598,83.9907523532228,83.771531757318,83.36693280872066,83.52288769484619,84.7736921437527,93.45576834882522,90.32387211450427,94.9361337218544,89.11473024628896,89.51777753569405,90.87236658223415,90.04174776641452,85.62011498043051,79.6767200397705,80.32048142223205,87.8309313734225,85.11286092887184,83.91476605221189,74.90187519900911,74.11239281507028,,,74.5071340070397,,
Coahuila de Zaragoza,73.581506870277,73.68424429507759,74.69101025052154,76.22062963919969,73.6328755826773,73.98558713862539,74.54434776376897,75.24676576003297,75.4033905907809,75.95372645130549,76.52021711501251,75.32507817540693,75.53462760070646,75.78102497928298,73.19742209728803,77.29963814252123,77.83423238718012,80.73046371084574,75.24853011990461,76.11043087566313,77.26543908445878,80.51857008505698,83.83991324839293,82.06430476696575,82.06609041998236,82.17924166672496,82.14092936680521,82.1222196300995,78.38866878219768,86.44163033547136,86.51664616462304,86.86431882972495,82.41514955883453,83.78231509409737,84.55281602800426,82.52883929744273,84.71924050703953,83.24004786378849,81.73206846263912,83.62403990224114,83.49604255609026,83.05504903272747,63.376300810954035,63.08422551761467,68.32934351141158,74.25035280945976,63.23026316428436,64.92995661332677,67.26005566236002,75.24448159180423,81.05582305847288,82.19337921503964,83.71625993564078,78.15015232513855,79.49789462177226,80.55248595023939,83.86023455804241,85.23165154000634,85.69124448084331,87.596220805798,84.54594304902437,84.92771019296403,85.59483784617252,88.27814516385682,92.6623124721029,91.13215633138924,89.39600243214704,90.47022881797984,90.69087132244964,90.36715409987399,85.4164723856036,90.2652430887033,90.84313507941457,91.87771433846575,87.84085773715344,88.8416168512405,89.60064122304681,91.40401188144979,95.4445761665821,93.59582312480377,94.1897290605337,93.42429402401594,93.48147039094522,93.65853505834232,90.06505715815806,93.59322447063667,94.960449494356,93.85121768715194,91.82914081439736,92.87291037438358,93.11748720257567,89.60882785382177,92.63133490405373,93.87047468080726,97.29972067712829,91.12008137893774,92.03687914622758,93.35258952895276,94.2204888296741,97.37380251224077,97.21443295019797,101.19306994451098,95.79714567095743,96.26957476403761,97.50044855915596,97.95568884559846,98.95255326019738,101.80536048664062,101.28639740756358,98.4541210528979,99.57120086414548,100.,96.2945731074922,100.63739904417568,101.08041968911637,96.59308336861116,98.46598607583394,99.33746394692807,98.65136880234886,90.20053644329975,71.36904877333986,90.83860285918215,96.95140434034266,80.7847926083198,84.13606269194058,87.3398981040411,93.80347630969324,99.00030143499315,93.24331282929343,94.77475127942981,96.40188887234319,95.3490301913266,95.20546046335241,92.92815640205737,96.24551063592787,97.0481627451621,100.17989599132333,94.58683351899263,95.40727659438247,96.60043144361768,94.08730874139648,94.764951814405,96.04688094244896,97.34843517806105,94.42613027790074,94.96638049941683,95.56189416907789,90.59908704080625,97.3636147648215,96.9497051095838,97.27628371563026,93.98135090281387,94.97080230507053,95.54717265771046,91.07497626226481,96.26796338299599,,,93.67146982263039,,
Colima,62.74329918976505,68.8628643137153,70.23948517209836,70.23059377823586,65.80308175174018,67.28188289185958,68.01906061345365,65.09685660162457,67.01197439893967,70.26409188685307,71.97010427324265,66.05441550028212,67.45764096247242,68.585756790165,64.4510551672131,69.53776799141805,70.78923760687384,70.77927991956389,66.99441157931557,68.25935358850167,68.88933517126722,71.35503041340438,73.40275154242387,74.25765331083743,74.64649295580057,72.37889097791412,73.00514508888855,73.41548205561656,81.5623172119517,79.79158386969871,76.50468973682956,75.04402244219305,80.6769505408252,79.28619693949334,78.22565331516826,79.17910165359227,79.66355280527645,81.22743687905108,78.64293309946504,79.42132722943435,80.0233637793066,79.67825610934621,73.43279506830022,74.01571740711348,77.2225621955831,79.02650645001356,73.72425623770687,74.8903582236656,75.92439528025258,78.41414648684248,78.8729175961613,79.74070716853726,86.02641895004022,78.64353204150191,79.00925708384702,80.76354755039532,83.33654296914426,86.90122238143708,88.11316967652819,86.41490155061979,85.11888267529068,86.11697834236985,86.19145914443234,83.67349164935084,89.5889916250326,87.9853094201188,89.57243729424694,86.63124163719172,87.08259756483409,87.7050574971873,85.2848103435395,86.94421733020616,86.34171165786542,88.40624018827253,86.11451383687283,86.19024644387035,86.74424487997089,88.26524003137361,87.19481111798645,86.87479650394889,88.90310120031377,87.73002557468001,87.44494921776965,87.80948721340567,88.21378630733861,89.26562177890924,92.80640656519653,96.08859504612283,88.73970404312391,90.09527155048144,91.5936024243918,90.10558325652164,90.26995630616423,89.38528219397753,95.56340049834981,90.18776978134294,89.9202739188878,91.33105556375331,94.02748304189355,96.72963227577613,97.60956633886654,102.44796801072702,95.37855765883484,96.12222721884541,97.70366241681582,95.98573718729317,103.60531012732312,99.68306405275268,100.72588863263104,99.79552365730817,99.75803712245633,100.,98.51921577444477,105.0318505112305,106.75033283289036,109.24794003553069,101.77553314283765,103.43379970618855,104.88733478852407,104.5877807711129,92.13454631409833,92.54247786991459,96.07006634730054,98.36116354260564,96.42160165170861,96.3337178256066,91.65349058671475,96.15902566323732,94.50475229148388,99.13595871529309,93.90625812497602,94.10575618047864,95.36330681418225,93.13089198407611,97.18829686578432,91.9955321220511,99.3634963933409,95.15959442493022,94.10490699063718,95.4195543413131,98.14894299597232,99.01057823451403,98.86584061452834,102.8085512455533,98.57976061524317,98.6751206150049,99.70847827264198,100.8563898744577,104.65929750914601,101.86489950529494,105.56353032192949,102.75784369180188,102.46019562963289,103.23602930270704,102.8998198688857,105.03546698646244,,,103.96764342767409,,
Chiapas,93.44382910177788,88.49032646555432,84.4656400607842,86.42266920609873,90.96707778366608,88.7999318760388,88.20561620855379,86.09474224472817,85.36042696955917,83.18750811836716,86.53025456412283,85.72758460714368,84.88089244421818,85.29323297419434,85.66698899884462,89.71684395864166,85.14255022882493,87.84493969790915,87.69191647874315,86.84212772877041,87.0928307210551,86.24349009187696,90.35745746911876,91.41629949749522,93.60520449651835,88.30047378049787,89.33908235283032,90.40561288875233,91.57338149830261,92.12923760329448,90.17137529199304,91.23691067730749,91.85130955079856,91.29133146453005,91.27772626772442,95.88750894951141,97.04006323348332,93.20362089315715,93.81264075231562,96.46378609149735,95.3770643587173,94.98595845711687,91.71535797275772,91.81719922242941,93.93937090432347,97.17633601990168,91.76627859759355,92.49064269983685,93.66206602985307,95.96625897369674,99.45958989108814,103.8572442034239,104.33102137298307,97.71292443239244,99.76103102273626,100.90352861029797,99.13061837442582,103.80300599569469,101.55493767687258,106.17958945266591,101.46681218506026,101.49618734899771,102.66703787491474,104.36072761217352,104.33837590853454,103.9435934122527,108.50231197138014,104.34955176035403,104.21423231098692,105.28625222608522,98.61830672060236,102.36516179305681,100.07198796473892,108.67580402922256,100.4917342568296,100.35181882613271,102.43281512690518,106.72913428025639,107.00815286635077,104.63399131576985,107.96455171652653,106.86864357330357,106.123759487459,106.58395754472589,102.34792759746838,103.8786712389137,100.81706580390698,105.06642066882304,103.11329941819103,102.34788821342971,103.02752132727804,104.71454897754305,105.42103244094636,102.90053324072916,105.44901210444182,105.06779070924472,104.34537155307287,104.62128169091511,105.76430287127695,101.76746901612776,97.77666589329799,101.66582729936184,103.76588594370236,101.76947926023423,101.74356627001615,103.23915919087614,100.82582668543027,98.90838773911105,97.0266263845825,102.03249293815321,100.9911245384725,100.,98.81825993875964,97.40658787557346,97.65778130701102,100.3009595768757,98.11242390716654,97.96087637378137,98.54589717455495,102.16373962058884,86.75840955835618,95.37846783339384,98.12128564908912,94.46107458947252,94.7668723374463,95.60547566535699,102.21474080118733,100.21225740159947,96.60409884703591,101.4394157687222,101.2134991013934,99.6770323499409,100.11762820463623,105.47093525160514,107.16039455410417,104.60685142452331,106.92379823121279,106.31566490285466,105.74606041007755,106.04049486536135,109.138191806412,105.08436878914276,105.29555397931595,109.5382149042313,107.11128029777738,106.50603819162359,107.2640823697755,110.99048357267796,109.07605335704176,108.60756080465256,111.42556397247733,110.03326846485986,109.55803257812408,110.0249154267124,113.25245551063512,110.86814631013635,,,112.06030091038572,,
Chihuahua,63.17871064101131,62.67391597689449,65.0351194072918,68.92535519500416,62.9263133089529,63.62924867506587,64.95327530505044,65.31569164832125,67.73097162681488,67.55759214755622,67.34016061222503,66.52333163756806,66.86808514089745,66.98610400872934,64.67021252585236,67.85275632412055,70.18519175594437,72.11619577636897,66.26148442498646,67.56938686863909,68.70608909557157,68.8051140495053,72.85001356045106,75.31882297289295,78.06988951675908,70.82756380497818,72.32465019428311,73.76096002490212,70.88127581558791,76.89117687146224,79.75897785054215,81.47923115058639,73.88622634352508,75.84381017919742,77.25266542204467,75.71220776862918,81.99224626944319,81.72774959369006,83.7440078038094,78.85222701903618,79.81073454392082,80.79405285889295,69.78844386789206,70.40445705078785,74.47239560450919,77.12914832656344,70.09645045933995,71.55509884106303,72.94861121243814,70.9796494190175,75.69833008359404,77.16692124656355,78.59378293087971,73.33898975130579,74.6149669163917,75.6096709200137,70.29430501150405,76.43695328579905,78.89552599928133,84.11124357922492,73.36562914865155,75.20892809886148,77.43450696895233,78.12903050582736,82.33469855855105,84.75730240403044,87.24791810657561,80.2318645321892,81.74034382280296,83.11723739374611,79.26087342785223,85.89289688439816,86.94641623329127,90.81100795086257,82.57688515612519,84.03339551518056,85.72779862410106,80.78120877375868,87.30926821802676,90.30204098168042,94.1486716774332,84.04523849589273,86.13083932448863,88.13529741272477,86.3813456589243,91.46956917510808,97.10501222186389,101.01258956548847,88.92545741701619,91.65197568529877,93.99212915534618,89.81366816076344,96.09489578860702,99.31028244677333,103.56569070871305,92.95428197468524,95.07294879871459,97.19613427621421,93.54934977810491,98.63916766423803,101.41001405480009,105.09553361789206,96.09425872117147,97.86617716571433,99.67351627875877,91.84752564656621,98.82896062168355,102.12873673474105,107.19477699700917,95.33824313412488,97.60174100099694,100.,96.27911140515234,101.2561237734052,102.65354894748843,106.52681171820637,98.76761758927876,100.06292804201532,101.67889896106308,95.92752043171664,83.37747310338432,98.4377207589414,102.33218443668287,89.65249676755047,92.58090476468077,95.0187246826813,92.8605417740167,98.52185103128745,100.88038420992218,104.48042940721376,95.69119640265207,97.42092567174211,99.18580160561002,98.46522233034078,106.10317193732544,109.71196608959195,112.22173138016281,102.28419713383312,104.76012011908607,106.62552293435526,103.90983524577328,109.20974644344503,113.15099866051715,113.8005100064873,106.55979084460915,108.75686011657848,110.0177725890557,103.74631177066078,110.35023482976054,113.6551047896408,113.71483314070103,107.04827330021065,109.25055046335403,110.3666211326908,103.04884365630971,107.82417958593864,,,105.43651162112417,,
